# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11615
#@/user_id	0ba0088c-26ad-4165-b815-edfac2094e5f
a 	啊	c=33 d=1.71352 t=11615
shuai jian 	衰減	c=3 d=1.04242e-15 t=11615
shuai jie 	衰竭	c=14 d=0.0796877 t=11615
shuai jie qi 	衰竭期	c=2 d=1.64515e-11 t=11615
shuan 	栓	c=2 d=4.08751e-05 t=11615
shuan se 	栓塞	c=3 d=0.000958573 t=11615
shuang 	雙	c=10 d=0.89343 t=11615
shuang a 	爽啊	c=1 d=1.2949e-11 t=11615
shuang ce 	雙側	c=1 d=1.3138e-05 t=11615
shuang chong 	雙重	c=3 d=0.000405658 t=11615
shuang jian 	雙鍵	c=1 d=5.74757e-15 t=11615
shuang pin 	雙拼	c=6 d=2.61942 t=11615
shuang qi 	雙期	c=1 d=5.1117e-18 t=11615
shuang shen 	雙深	c=1 d=3.4681e-13 t=11615
shuang tui 	雙腿	c=1 d=4.2874e-08 t=11615
shuang xia fei 	雙下肺	c=2 d=0.000534782 t=11615
shuang xiang 	雙向	c=1 d=0.000978001 t=11615
shuang yuan 	雙源	c=1 d=2.97883e-18 t=11615
shui 	水	c=3 d=0.000378233 t=11615
shui 	睡	c=1 d=0.244143 t=11615
shui chong 	水衝	c=1 d=7.32357e-14 t=11615
shui chong mai 	水衝脈	c=3 d=8.63713e-10 t=11615
shui chong mao 	水衝貓	c=1 d=1.45296e-13 t=11615
shui fen 	水分	c=1 d=2.65478e-16 t=11615
shui he wu 	水合物	c=1 d=6.5783e-15 t=11615
shui jie 	水解	c=2 d=1.42052e-12 t=11615
shui rong xing 	水溶性	c=3 d=0.822835 t=11615
shui zhong 	水中	c=0 d=3.52111e-16 t=11615
shui zhong 	水腫	c=13 d=0.448538 t=11615
shui zhong de 	水中的	c=1 d=3.53876e-15 t=11615
shun jian 	瞬間	c=1 d=4.79082e-20 t=11615
shun shi 	瞬時	c=1 d=5.7644e-20 t=11615
shun xu 	順序	c=1 d=2.10208e-05 t=11615
shun ying 	順應	c=4 d=0.122147 t=11615
shun ying xing 	順應性	c=3 d=0.121284 t=11615
shun zhong xiang 	順鐘向	c=2 d=0.071719 t=11615
shuo 	說	c=2 d=0.0011593 t=11615
shuo hua 	說話	c=1 d=0.0325493 t=11615
shuo o 	說哦	c=1 d=0.0127147 t=11615
si 	似	c=2 d=0.000141247 t=11615
si 	四	c=2 d=9.51715e-07 t=11615
si lu 	思路	c=2 d=1.79121e-06 t=11615
si wang 	死亡	c=2 d=5.69374e-09 t=11615
si zhi 	四肢	c=1 d=3.9571e-06 t=11615
si zhong 	四種	c=1 d=0.000376347 t=11615
si zhou 	四周	c=1 d=0.00166156 t=11615
song jian 	送檢	c=1 d=0.0480747 t=11615
sou suo 	搜索	c=2 d=0.000177643 t=11615
su 	素	c=1 d=9.8307e-07 t=11615
su 	速	c=1 d=3.08367e-16 t=11615
su da shui 	蘇打水	c=0 d=0.00135985 t=11615
su da shui da sa da shi da sa da shi da sa da sa si da sa da sa da sa da shi sa da sa da da da sa da shi da sa da shi da sa da shi da da sa sa a 	蘇打水搭撒打時搭撒打時搭撒打薩斯搭撒打撒搭撒打時撒搭撒打大搭撒打時搭撒打時搭撒打時大大灑灑啊	c=1 d=0.0136366 t=11615
su da shui de sa dan sa dan 	蘇打水的撒旦撒旦	c=1 d=3.01297e-05 t=11615
su du 	速度	c=8 d=6.61532e-10 t=11615
su lv 	速率	c=3 d=0.26982 t=11615
su lv guo cheng 	速率過程	c=2 d=5.33299e-20 t=11615
suan 	算	c=1 d=5.8164e-08 t=11615
suan 	酸	c=9 d=0.926975 t=11615
suan hua 	酸化	c=1 d=3.87136e-13 t=11615
suan jian 	酸鹼	c=1 d=0.0270518 t=11615
suan jian du 	酸鹼度	c=1 d=0.0505395 t=11615
suan rong ye 	酸溶液	c=1 d=4.49865e-15 t=11615
suan xing 	酸性	c=5 d=0.617612 t=11615
suan xing an ji suan 	酸性氨基酸	c=1 d=3.91093e-15 t=11615
suan xing tang dan bai 	酸性糖蛋白	c=1 d=0.516851 t=11615
suan zhong du 	酸中毒	c=1 d=4.00926e-13 t=11615
sui 	隨	c=6 d=0.00172937 t=11615
sui fang 	隨訪	c=2 d=1.29149e-10 t=11615
sui hou 	隨後	c=1 d=0.298197 t=11615
sui zhe 	隨着	c=1 d=3.32577e-20 t=11615
sun hai 	損害	c=5 d=0.0379083 t=11615
sun hai de 	損害的	c=1 d=0.215456 t=11615
sun huai 	損壞	c=1 d=0.00223168 t=11615
sun shang 	損傷	c=5 d=0.371577 t=11615
sun shang hou 	損傷後	c=1 d=2.17806e-11 t=11615
suo 	所	c=6 d=1.91092e-07 t=11615
suo 	索	c=1 d=2.62658e-08 t=11615
suo 	縮	c=0 d=5.55951e-07 t=11615
suo chan sheng 	所產生	c=1 d=2.22819e-14 t=11615
suo gu 	鎖骨	c=2 d=0.000935645 t=11615
suo han 	所含	c=1 d=3.59163e-13 t=11615
suo he 	縮合	c=0 d=7.45419e-16 t=11615
suo he cheng wei 	縮合稱爲	c=1 d=7.49156e-15 t=11615
suo ji 	羧基	c=2 d=1.3952e-14 t=11615
suo jin 	縮進	c=11 d=0.00101611 t=11615
suo xian shi 	所顯示	c=1 d=1.74011e-17 t=11615
suo xiao 	縮小	c=1 d=0.0675424 t=11615
suo xu 	所需	c=1 d=1.00413e-19 t=11615
suo xue guan 	縮血管	c=1 d=5.58738e-06 t=11615
suo yong 	所用	c=1 d=5.64353e-06 t=11615
suo zhai 	縮窄	c=1 d=7.08582e-07 t=11615
suo zhai xing 	縮窄性	c=5 d=3.59358e-06 t=11615
suo zhi 	所致	c=10 d=0.00082099 t=11615
suo zhi de 	所致的	c=1 d=3.60093e-14 t=11615
ta 	他	c=1 d=0.00116786 t=11615
ta de 	它的	c=1 d=0.00582847 t=11615
ta men 	它們	c=1 d=2.07862e-20 t=11615
ta xian 	塌陷	c=2 d=7.03824e-07 t=11615
tai 	太	c=2 d=4.56959e-05 t=11615
tai 	肽	c=11 d=6.57691e-05 t=11615
tai 	胎	c=1 d=0.000299743 t=11615
tai gao 	太高	c=1 d=2.89532e-07 t=11615
tai jian 	肽鍵	c=3 d=2.71813e-14 t=11615
tai ju 	擡舉	c=1 d=0.000274654 t=11615
tai lian 	肽鏈	c=1 d=2.4566e-15 t=11615
tai mei 	肽酶	c=1 d=2.00576e-12 t=11615
tai pan 	胎盤	c=1 d=0.869358 t=11615
tai qi 	擡起	c=1 d=0.000636198 t=11615
tai xiao 	太小	c=1 d=0.0488012 t=11615
tai xin lv 	胎心律	c=1 d=0.00301245 t=11615
tai yuan 	太原	c=1 d=0.00479587 t=11615
tan 	痰	c=7 d=0.0358648 t=11615
tan ce qi 	探測器	c=1 d=3.54852e-18 t=11615
tan li 	彈力	c=1 d=0.00373503 t=11615
tan pei yang 	痰培養	c=1 d=0.298197 t=11615
tan suan 	碳酸	c=2 d=0.0872128 t=11615
tan suan qing gen 	碳酸氫根	c=1 d=0.118245 t=11615
tan tou 	探頭	c=6 d=1.67679e-15 t=11615
tan xing 	彈性	c=1 d=0.00324708 t=11615
tan ye 	痰液	c=2 d=0.00967631 t=11615
tang dan bai 	糖蛋白	c=0 d=0.0514274 t=11615
tang niao bing 	糖尿病	c=3 d=9.60957e-06 t=11615
te bi 	特比	c=1 d=1.17695e-05 t=11615
te bie 	特別	c=1 d=0.0608101 t=11615
te dian 	特點	c=11 d=0.0883036 t=11615
te shu 	特殊	c=4 d=0.398543 t=11615
te xing 	特性	c=8 d=0.386741 t=11615
te xing zu kang 	特性阻抗	c=1 d=5.64834e-16 t=11615
te yi 	特意	c=2 d=4.65119e-15 t=11615
te yi 	特異	c=2 d=3.64555e-11 t=11615
te yi xing 	特異性	c=1 d=0.603506 t=11615
te zheng 	特徵	c=3 d=0.00069264 t=11615
teng tong 	疼痛	c=4 d=7.81362e-07 t=11615
teng xun 	騰訊	c=0 d=1.82932e-18 t=11615
teng xun yun 	騰訊雲	c=2 d=3.74248e-17 t=11615
ti 	體	c=2 d=6.97914e-05 t=11615
ti ceng 	體層	c=1 d=7.38253e-19 t=11615
ti dai 	替代	c=1 d=5.22223e-05 t=11615
ti ding 	替丁	c=1 d=7.87968e-21 t=11615
ti du 	梯度	c=3 d=0.0444897 t=11615
ti gao 	提高	c=5 d=0.704688 t=11615
ti ge 	體格	c=2 d=0.0320647 t=11615
ti gong 	提供	c=1 d=7.95752e-19 t=11615
ti jian 	體件	c=1 d=9.84552e-14 t=11615
ti li 	體力	c=4 d=5.57612e-08 t=11615
ti nei 	體內	c=6 d=1.35563 t=11615
ti sheng 	蹄聲	c=1 d=0.212248 t=11615
ti shi 	提示	c=5 d=0.00309804 t=11615
ti wei 	體位	c=5 d=0.000992781 t=11615
ti xing 	梯形	c=0 d=8.13928e-21 t=11615
ti xing fa 	梯形法	c=1 d=8.18008e-20 t=11615
ti xun huan 	體循環	c=3 d=1.56973e-06 t=11615
ti ye 	體液	c=7 d=0.637628 t=11615
ti ye liang 	體液兩	c=1 d=3.0291e-09 t=11615
ti zao 	提早	c=1 d=4.84654e-09 t=11615
ti zheng 	體徵	c=17 d=1.16151 t=11615
ti zheng zhi yi 	體徵之一	c=1 d=6.76114e-14 t=11615
ti zhong 	體重	c=2 d=3.7485e-08 t=11615
tian 	天	c=6 d=3.43376 t=11615
tian yi 	天意	c=0 d=3.01502e-14 t=11615
tian yi 	天翼	c=4 d=1.37526 t=11615
tian yi yun pan 	天意雲盤	c=2 d=6.07545e-13 t=11615
tiao jian 	條件	c=3 d=6.12275e-16 t=11615
tiao jian xia 	條件下	c=2 d=0.000137073 t=11615
tiao jie 	調節	c=6 d=0.212498 t=11615
tiao suo 	條索	c=2 d=0.285284 t=11615
tiao suo zhuang 	條索狀	c=1 d=0.00179994 t=11615
tiao zheng 	調整	c=1 d=1.17835e-19 t=11615
tiao zhuan 	跳轉	c=3 d=0.0505037 t=11615
tie xiu 	鐵鏽	c=0 d=1.30387e-05 t=11615
tie xiu se 	鐵鏽色	c=1 d=0.000131041 t=11615
ting 	停	c=2 d=0.0312749 t=11615
ting dao 	聽到	c=4 d=0.744532 t=11615
ting zhen 	聽診	c=3 d=0.272532 t=11615
ting zhen qi 	聽診器	c=2 d=1.86554e-13 t=11615
ting zhen wen ji 	聽診聞及	c=1 d=0.00394621 t=11615
ting zhi 	停止	c=2 d=3.12884e-14 t=11615
tong 	痛	c=3 d=0.000522287 t=11615
tong bu 	同步	c=2 d=0.148823 t=11615
tong chang 	通常	c=3 d=0.0800583 t=11615
tong cheng 	統稱	c=1 d=1.48232e-13 t=11615
tong feng 	通風	c=1 d=2.77461e-06 t=11615
tong gong 	同工	c=0 d=5.49279e-12 t=11615
tong gong mei 	同工酶	c=2 d=1.10961e-10 t=11615
tong guo 	通過	c=15 d=4.03462 t=11615
tong lv 	銅綠	c=1 d=0.000114493 t=11615
tong qi 	通氣	c=9 d=0.177652 t=11615
tong qi gong neng 	通氣功能	c=1 d=2.07078e-05 t=11615
tong ri 	同日	c=1 d=7.47221e-14 t=11615
tong shi 	同時	c=7 d=0.0311209 t=11615
tong shi ban you 	同時伴有	c=1 d=0.208045 t=11615
tong tou xing 	通透性	c=1 d=0.308819 t=11615
tong wen 	同文	c=2 d=1.97045 t=11599
tong xue 	同學	c=3 d=1.5362e-05 t=11615
tong yi 	同一	c=1 d=5.03474e-16 t=11615
tong yi 	統一	c=1 d=5.49095e-16 t=11615
tong yi ge 	同一個	c=1 d=0.0300468 t=11615
tong yi ping mian 	統一平面	c=1 d=4.83732e-16 t=11615
tou bao 	頭孢	c=1 d=0.000149981 t=11615
tou ding 	頭頂	c=1 d=5.79034e-14 t=11615
tou gu 	頭骨	c=2 d=0.469235 t=11615
tou jing 	透鏡	c=1 d=6.32144e-17 t=11615
tou liang 	透亮	c=1 d=0.891366 t=11615
tou ming 	透明	c=5 d=0.262446 t=11615
tou ming mo 	透明膜	c=2 d=9.33723e-05 t=11615
tou shi 	透視	c=4 d=1.46266e-06 t=11615
tou tong 	頭痛	c=1 d=0.000254808 t=11615
tou xi 	透析	c=1 d=3.49391e-12 t=11615
tu 	圖	c=2 d=2.84789e-07 t=11615
tu chu 	突出	c=2 d=1.96658e-07 t=11615
tu fa 	突發	c=2 d=5.57717e-08 t=11615
tu jing 	途徑	c=3 d=0.000717312 t=11615
tu jing de 	途徑的	c=1 d=1.96738e-20 t=11615
tu pian 	圖片	c=2 d=0.000223746 t=11615
tu pu 	圖譜	c=1 d=6.10194e-13 t=11615
tu ran 	突然	c=3 d=1.03684e-10 t=11615
tu xiang 	圖像	c=34 d=1.70428e-15 t=11615
tu yang 	圖樣	c=1 d=0.224249 t=11615
tuan liu 	湍流	c=1 d=0.000816895 t=11615
tui jian 	推薦	c=1 d=0.000154549 t=11615
tun bu 	臀部	c=1 d=1.08123e-07 t=11615
tun yan 	吞嚥	c=1 d=1.14236e-07 t=11615
tuo qu 	脫去	c=1 d=1.42764e-12 t=11615
tuo shui 	脫水	c=1 d=4.07969e-12 t=11615
tuo ye 	唾液	c=1 d=2.03746e-20 t=11615
wai 	外	c=6 d=0.726149 t=11615
wai bu 	外部	c=2 d=0.00269866 t=11615
wai ce 	外側	c=1 d=4.64686e-14 t=11615
wai guan 	外觀	c=4 d=0.320203 t=11615
wai li 	外力	c=1 d=0.100761 t=11615
wai shang 	外傷	c=0 d=0.0524663 t=11615
wai shang xing 	外傷性	c=1 d=0.527292 t=11615
wai tu 	外凸	c=1 d=0.839457 t=11615
wai yuan 	外源	c=0 d=0.0203926 t=11615
wai yuan xing 	外源性	c=1 d=0.204948 t=11615
wai zhou 	外周	c=3 d=7.50538e-06 t=11615
wan 	晚	c=1 d=1.85186e-14 t=11615
wan cheng 	完成	c=1 d=0.0490458 t=11615
wan qi 	晚期	c=2 d=6.79971e-10 t=11615
wan quan 	完全	c=3 d=0.0157449 t=11615
wan quan xing 	完全性	c=2 d=0.151829 t=11615
wan yi 	玩意	c=1 d=4.94277e-05 t=11615
wan yu 	晚於	c=1 d=0.00501661 t=11615
wang 	往	c=3 d=0.000716341 t=11615
wang 	王	c=1 d=0.00114197 t=11615
wang 	網	c=2 d=0.000169951 t=11615
wang ge 	網格	c=1 d=2.86602e-05 t=11615
wang pan 	網盤	c=2 d=0.961438 t=11615
wang wang 	往往	c=3 d=8.77694e-09 t=11615
wei 	僞	c=1 d=3.76795e-18 t=11615
wei 	微	c=0 d=6.11669e-13 t=11615
wei 	未	c=2 d=0.0480747 t=11615
wei 	爲	c=65 d=0.0748393 t=11615
wei 	胃	c=3 d=0.0376283 t=11615
wei ai 	胃癌	c=1 d=0.0243554 t=11615
wei cha 	僞差	c=1 d=2.2232e-17 t=11615
wei chi 	維持	c=2 d=0.111917 t=11615
wei jing 	胃鏡	c=1 d=0.0359725 t=11615
wei la 	維拉	c=0 d=5.10648e-07 t=11615
wei la pa mi 	維拉帕米	c=1 d=5.13208e-06 t=11615
wei le 	爲了	c=3 d=0.778816 t=11615
wei li 	微粒	c=1 d=4.54308e-13 t=11615
wei liang 	微量	c=1 d=0.00778933 t=11615
wei lin 	韋林	c=1 d=0.000294568 t=11615
wei neng 	未能	c=1 d=4.06777e-07 t=11615
wei qiu dan bai 	微球蛋白	c=1 d=6.14735e-12 t=11615
wei rao 	圍繞	c=1 d=3.11594e-18 t=11615
wei ruo 	微弱	c=1 d=1.2405e-06 t=11615
wei shen me 	爲什麼	c=8 d=0.990847 t=11615
wei shen me ta 	爲什麼他	c=1 d=0.0117371 t=11615
wei sheng su 	維生素	c=1 d=0.535261 t=11615
wei suo 	萎縮	c=1 d=7.5996e-07 t=11615
wei wu ti 	爲物體	c=1 d=2.64838e-17 t=11615
wei xian 	危險	c=1 d=1.63343e-08 t=11615
wei xiao 	微小	c=0 d=1.379e-17 t=11615
wei xiao cha bie 	微小差別	c=1 d=1.38592e-16 t=11615
wei xie 	威脅	c=1 d=4.22357e-08 t=11615
wei ying 	僞影	c=1 d=3.96114e-18 t=11615
wei yu 	位於	c=4 d=0.00540744 t=11615
wei zhi 	位置	c=3 d=2.94061e-13 t=11615
wei zhu 	爲主	c=6 d=0.110824 t=11615
wei zuo xin shi 	爲左心室	c=1 d=6.62726e-14 t=11615
wen 	文	c=1 d=0.144424 t=11615
wen 	聞	c=0 d=0.000392653 t=11615
wen ben 	文本	c=2 d=0.00015273 t=11615
wen ding 	穩定	c=2 d=0.798516 t=11615
wen he 	吻合	c=1 d=0.00440507 t=11615
wen ji 	聞及	c=4 d=0.274224 t=11615
wen jian 	文件	c=26 d=1.14708 t=11615
wen li 	紋理	c=2 d=0.882497 t=11615
wen luan 	紊亂	c=1 d=0.092089 t=11615
wen tai 	穩態	c=0 d=6.17997e-21 t=11615
wen tai nong du 	穩態濃度	c=1 d=3.62082e-20 t=11615
wen ti 	問題	c=1 d=7.01532e-07 t=11615
wo 	我	c=27 d=0.0377588 t=11615
wo de 	我的	c=8 d=3.4152 t=11615
wo de tian 	我的天	c=2 d=1.70437 t=11615
wo gan jiao 	我感覺	c=2 d=0.000298696 t=11615
wo gan jue 	我感覺	c=4 d=0.025137 t=11615
wo gan jue hai ke yi ni men jue de ne wo gan jue xian zai wan quan 	我感覺還可以你們覺得呢我感覺現在完全	c=1 d=0.00640933 t=11615
wo hai shi 	我還是	c=0 d=0.00141223 t=11615
wo jiang 	我將	c=1 d=3.57128e-05 t=11615
wo jin 	握緊	c=0 d=5.5633e-15 t=11615
wo jin bing ren 	握緊病人	c=1 d=5.59119e-14 t=11615
wo jin tian 	我今天	c=1 d=0.0111647 t=11615
wo jue de 	我覺得	c=2 d=0.0062849 t=11615
wo lai 	我來	c=1 d=1.29803e-10 t=11615
wo men 	我們	c=2 d=6.70843e-05 t=11615
wo qu 	我去	c=1 d=0.000163287 t=11615
wo wei 	臥位	c=2 d=3.73104e-07 t=11615
wo yong 	我用	c=1 d=0.00127147 t=11615
wo yong xi tong 	我用系統	c=1 d=0.0127784 t=11615
wo zai lai 	我再來	c=3 d=0.0255397 t=11615
wo zai lai ce shi yi xia lai 	我再來測試一下來	c=1 d=0.00634556 t=11615
wo zai lai shi yi xia wo 	我再來試一下我	c=1 d=0.0116203 t=11615
wu 	五	c=1 d=0.00113627 t=11615
wu 	勿	c=1 d=1.60108e-08 t=11615
wu 	無	c=18 d=0.885397 t=11615
wu 	物	c=2 d=0.00347353 t=11615
wu bi 	務必	c=1 d=0.0614212 t=11615
wu bian hua 	無變化	c=1 d=0.135335 t=11615
wu chuang 	無創	c=1 d=7.40038e-18 t=11615
wu er suan 	戊二酸	c=1 d=1.0471e-12 t=11615
wu fa 	無法	c=5 d=0.123687 t=11615
wu ge 	五個	c=1 d=5.17732e-21 t=11615
wu hai 	無害	c=1 d=0.0284388 t=11615
wu han 	武漢	c=1 d=6.2694e-08 t=11615
wu hua 	霧化	c=1 d=0.00755912 t=11615
wu jie mian 	無界面	c=1 d=3.54792e-16 t=11615
wu li 	物理	c=1 d=2.01163e-17 t=11615
wu li liang 	物理量	c=1 d=2.91935e-16 t=11615
wu lun 	無論	c=1 d=5.89407e-17 t=11615
wu qi zhi xing 	無器質性	c=1 d=8.87675e-11 t=11615
wu se 	無色	c=2 d=0.138681 t=11615
wu shui 	污水	c=1 d=0.0422141 t=11615
wu ti 	物體	c=2 d=3.45827e-16 t=11615
wu xian 	無限	c=2 d=0.000499625 t=11615
wu yang 	無氧	c=0 d=0.00889216 t=11615
wu yang jiao jie 	無氧酵解	c=1 d=0.0893673 t=11615
wu zhi 	物質	c=3 d=0.0106459 t=11615
wu zhi dai xie 	物質代謝	c=1 d=0.106992 t=11615
xi 	吸	c=4 d=0.0318253 t=11615
xi 	息	c=1 d=3.74533e-06 t=11615
xi 	系	c=2 d=6.37447e-14 t=11615
xi 	細	c=3 d=0.365084 t=11615
xi bao 	細胞	c=26 d=2.19234 t=11615
xi bao nei 	細胞內	c=2 d=1.47831 t=11615
xi jun 	細菌	c=7 d=0.203878 t=11615
xi jun xing 	細菌性	c=1 d=0.081853 t=11615
xi jun xing nao mo yan 	細菌性腦膜炎	c=1 d=0.064894 t=11615
xi jun xue 	細菌學	c=1 d=0.0558548 t=11615
xi la 	希臘	c=2 d=6.58424e-05 t=11615
xi qi 	吸氣	c=7 d=0.0342195 t=11615
xi qi mo 	吸氣末	c=1 d=3.90084e-14 t=11615
xi qi shi 	吸氣時	c=1 d=0.0017643 t=11615
xi rou 	息肉	c=1 d=0.0342181 t=11615
xi ru 	吸入	c=1 d=7.17312e-05 t=11615
xi ru xing 	吸入性	c=1 d=0.000720907 t=11615
xi shi 	稀釋	c=1 d=4.84819e-13 t=11615
xi shou 	吸收	c=9 d=0.420715 t=11615
xi shou dao 	吸收到	c=1 d=7.47603e-20 t=11615
xi shou ru 	吸收入	c=1 d=0.00951391 t=11615
xi shou xing 	吸收性	c=1 d=1.34194e-19 t=11615
xi shuai 	吸衰	c=1 d=0.0608101 t=11615
xi shui 	吸水	c=0 d=0.00547488 t=11615
xi tong 	系統	c=15 d=1.13416 t=11615
xi wei 	細微	c=1 d=1.18692e-16 t=11615
xi xian tiao 	細線條	c=1 d=0.852144 t=11615
xi xiao 	細小	c=4 d=0.0014675 t=11615
xi yang 	吸氧	c=2 d=3.11093e-05 t=11615
xi yang qi 	吸氧氣	c=1 d=4.39594e-08 t=11615
xia 	下	c=12 d=0.662057 t=11615
xia chuan 	下傳	c=2 d=6.55002e-10 t=11615
xia chui 	下垂	c=1 d=4.30889e-08 t=11615
xia duan 	下段	c=2 d=4.30275e-13 t=11615
xia jiang 	下降	c=8 d=0.102239 t=11615
xia jiang zhi 	下降至	c=1 d=3.95912e-12 t=11615
xia qiang 	下腔	c=4 d=0.0281366 t=11615
xia wu 	下午	c=0 d=0.00117959 t=11615
xia ye 	下葉	c=2 d=0.00160955 t=11615
xia yi 	下移	c=2 d=0.000565162 t=11615
xia zhai 	狹窄	c=11 d=0.157316 t=11615
xia zhai kou 	狹窄口	c=1 d=0.000796726 t=11615
xia zhi 	下肢	c=3 d=0.000165729 t=11615
xian 	先	c=1 d=0.00174675 t=11615
xian 	線	c=48 d=1.79013 t=11615
xian an 	酰胺	c=1 d=0.379083 t=11615
xian du 	限度	c=1 d=2.92741e-19 t=11615
xian guan 	線管	c=1 d=3.51322e-18 t=11615
xian lu 	顯露	c=1 d=3.46751e-11 t=11615
xian shang 	線上	c=1 d=6.48147e-17 t=11615
xian shi 	顯示	c=14 d=0.000176005 t=11615
xian shi de 	現實的	c=1 d=1.75306e-16 t=11615
xian shu 	線束	c=1 d=2.39057e-18 t=11615
xian su 	限速	c=1 d=0.343009 t=11615
xian tian xing 	先天性	c=4 d=0.00275318 t=11615
xian tiao 	線條	c=0 d=0.0847894 t=11615
xian tu xiang 	線圖像	c=1 d=1.88991e-18 t=11615
xian wai 	線外	c=1 d=0.88692 t=11615
xian wei 	纖維	c=16 d=0.303169 t=11615
xian wei dan bai 	纖維蛋白	c=0 d=4.60939e-08 t=11615
xian wei dan bai xing 	纖維蛋白性	c=1 d=4.6325e-07 t=11615
xian wei hua 	纖維化	c=8 d=0.000324654 t=11615
xian wei jing 	顯微鏡	c=1 d=0.00719046 t=11615
xian wei su 	纖維素	c=2 d=0.000876127 t=11615
xian xiang 	現象	c=5 d=0.45612 t=11615
xian xing 	現行	c=1 d=2.26302e-20 t=11615
xian xing 	線性	c=0 d=2.35538e-21 t=11615
xian xing dong li 	線性動力	c=1 d=2.36719e-20 t=11615
xian ying 	顯影	c=1 d=9.4713e-09 t=11615
xian zai 	現在	c=2 d=0.000673271 t=11615
xian zhi 	限制	c=4 d=1.15252e-05 t=11615
xian zhi xing 	限制性	c=3 d=2.78507e-05 t=11615
xian zhu 	顯著	c=7 d=0.00121866 t=11615
xiang 	像	c=1 d=0.00035443 t=11615
xiang 	向	c=9 d=1.56395 t=11615
xiang 	相	c=8 d=0.000982903 t=11615
xiang 	香	c=2 d=0.00200261 t=11615
xiang dang yu 	相當於	c=1 d=0.00107547 t=11615
xiang deng 	相等	c=4 d=0.00290884 t=11615
xiang dui 	相對	c=5 d=2.82626e-05 t=11615
xiang dui huan man 	相對緩慢	c=1 d=0.000246044 t=11615
xiang dui xing 	相對性	c=2 d=6.34159e-14 t=11615
xiang guan 	相關	c=3 d=0.000112226 t=11615
xiang jie he 	相結合	c=1 d=4.05162e-19 t=11615
xiang liang 	響亮	c=2 d=6.88735e-14 t=11615
xiang mu 	項目	c=3 d=0.17198 t=11615
xiang nei 	向內	c=1 d=0.00118858 t=11615
xiang qian 	向前	c=1 d=0.000435072 t=11615
xiang si 	相似	c=2 d=0.00344307 t=11615
xiang su 	像素	c=1 d=1.28267e-17 t=11615
xiang tong 	相同	c=3 d=0.00078095 t=11615
xiang wai 	向外	c=1 d=0.00138093 t=11615
xiang xia 	向下	c=1 d=2.92442e-07 t=11615
xiang xiang 	想想	c=1 d=5.03131e-08 t=11615
xiang ying 	相應	c=2 d=0.000441647 t=11615
xiang zuo 	向左	c=1 d=0.064894 t=11615
xiao 	小	c=17 d=1.00243 t=11615
xiao ba biao 	小靶標	c=1 d=7.16313e-17 t=11615
xiao ban 	小班	c=0 d=2.46044e-05 t=11615
xiao ban pian ying 	小班片影	c=1 d=0.000247277 t=11615
xiao chu 	消除	c=9 d=0.918512 t=11615
xiao chuan 	哮喘	c=7 d=0.155572 t=11615
xiao du ji 	消毒劑	c=1 d=0.0420036 t=11615
xiao er 	小兒	c=1 d=1.48666e-18 t=11615
xiao fen zi 	小分子	c=1 d=0.321422 t=11615
xiao guan 	小管	c=1 d=1.25446e-20 t=11615
xiao guo 	效果	c=3 d=0.0977922 t=11615
xiao he 	小鶴	c=7 d=5.07115 t=11615
xiao hua dao 	消化道	c=6 d=0.0716396 t=11615
xiao hua mei 	消化酶	c=1 d=0.0502874 t=11615
xiao ji liang 	小劑量	c=1 d=0.0925506 t=11615
xiao jie mian 	小界面	c=3 d=1.46419e-15 t=11615
xiao lv 	效率	c=2 d=3.73302e-18 t=11615
xiao ming 	哮鳴	c=2 d=0.0347267 t=11615
xiao ming yin 	哮鳴音	c=1 d=0.01649 t=11615
xiao pian 	小片	c=1 d=0.000288735 t=11615
xiao pian zhuang 	小片狀	c=1 d=1.10041e-08 t=11615
xiao qiu 	小球	c=1 d=3.41646e-13 t=11615
xiao qu 	校區	c=1 d=4.67826e-05 t=11615
xiao san 	消散	c=1 d=0.00171216 t=11615
xiao shi 	消失	c=5 d=0.00232256 t=11615
xiao shi nei 	小時內	c=1 d=0.0488012 t=11615
xiao xin 	小心	c=1 d=0.0611149 t=11615
xiao xue guan 	小血管	c=1 d=4.46237e-08 t=11615
xiao ye 	小葉	c=0 d=9.05145e-06 t=11615
xiao ye xing 	小葉性	c=1 d=9.09683e-05 t=11615
xiao ying 	效應	c=7 d=5.61904e-06 t=11615
xiao yu 	小於	c=5 d=0.0561348 t=11615
xiao zhong 	小衆	c=3 d=1.95021e-05 t=11615
xie 	些	c=1 d=0.000841773 t=11615
xie 	寫	c=2 d=0.263349 t=11615
xie he 	協和	c=1 d=7.10416e-08 t=11615
xie ru 	寫入	c=1 d=0.0513033 t=11615
xie xie 	謝謝	c=1 d=0.000164928 t=11615
xin 	心	c=28 d=0.965724 t=11615
xin 	新	c=3 d=2.96811e-05 t=11615
xin bao 	心包	c=31 d=0.188092 t=11615
xin bao yan zheng 	心包炎症	c=1 d=1.76035e-06 t=11615
xin bing 	心病	c=0 d=6.1463e-11 t=11615
xin dian 	心電	c=1 d=1.1804e-10 t=11615
xin dian tu 	心電圖	c=8 d=0.128472 t=11615
xin dong 	心動	c=7 d=0.00346326 t=11615
